lat,temperature,humidity,cloudiness,windspeed
32.69,50.70199999999998,75,100,7.43111468
39.62,61.26799999999999,58,1,3.35541
-11.2,73.58000000000004,92,64,3.8900386600000005
41.57,62.86999999999996,88,75,3.35541
-13.65,51.98000000000005,86,72,5.59011306
7.69,72.05000000000001,95,100,2.41813214
36.17,84.46999999999997,14,1,2.3733933400000002
65.58,36.44600000000005,74,0,18.5442326
29.11,65.67799999999997,26,0,4.787051600000001
49.56,59.26999999999996,93,0,2.23694
49.49,33.49399999999997,42,82,6.943461760000001
12.65,81.31999999999996,67,63,10.256369900000001
-12.05,88.84399999999997,47,59,4.0376767000000005
-15.62,76.00999999999999,51,0,10.46216838
-37.4,64.27400000000002,77,42,28.856526000000002
-3.41,79.71799999999999,79,100,4.09583714
65.61,34.06999999999996,64,85,5.816044000000001
44.65,49.26199999999996,81,5,10.289924
37.02,44.492,90,100,2.81407052
-3.48,60.475999999999985,79,39,2.81183358
53.25,39.469999999999956,69,20,15.65858
39.31,61.26799999999999,87,1,5.74669886
1.23,70.77200000000005,97,100,3.98846402
-23.65,61.069999999999965,82,90,12.750558000000002
43.48,52.26799999999999,48,1,4.697574
69.38,34.969999999999956,82,90,11.739461120000001
40.35,60.27799999999996,76,1,5.816044000000001
24.15,82.66999999999996,69,40,9.171454
-9.43,86.26999999999995,70,75,10.289924
10.62,86.26999999999995,70,20,6.934514000000001
-0.28,71.78000000000004,95,100,3.6126581000000004
4.48,84.46999999999997,74,75,2.23694
7.38,73.47200000000004,93,46,3.1921133800000003
18.62,78.96199999999996,85,65,1.5323039000000003
27.66,68.26999999999995,60,0,0.9909644200000001
67.46,20.65999999999998,92,95,15.78384864
17.54,78.06199999999995,77,38,4.86087062
-16.52,80.07799999999997,78,0,9.41975434
60.28,30.667999999999985,93,38,6.5676558400000005
8.56,73.4,92,63,1.1811043200000002
40.66,62.27599999999999,90,97,1.9908766000000002
42.9,49.58599999999997,47,20,5.16062058
31.93,79.05199999999998,25,0,5.9838145
-22.46,61.26799999999999,10,0,12.750558000000002
-11.42,42.98000000000004,87,62,3.48738946
-33.59,58.26199999999996,87,17,6.491599880000001
33.72,66.46999999999997,52,20,9.171454
-1.2,81.40999999999998,80,54,15.370014740000002
60.14,38.55199999999998,59,0,3.8162196400000004
62.23,50.26999999999996,76,97,31.093466000000003
-9.11,84.092,57,93,3.5119958000000002
52.11,54.95,73,37,9.19158646
-33.93,62.27599999999999,93,0,11.408394
-20.63,75.88399999999999,48,98,4.822842640000001
-28.55,57.84800000000003,81,0,7.894161260000001
28.28,25.825999999999986,55,0,0.9484625600000001
33.61,91.66999999999996,14,1,3.35541
53.99,28.94000000000002,66,48,0.82990474
49.72,43.06999999999996,81,75,4.697574
-4.58,64.45399999999995,87,17,12.667791220000002
39.45,57.469999999999956,87,0,1.2482125200000003
18.44,85.17200000000004,17,46,3.6014734000000006
70.47,25.069999999999958,79,75,4.697574
-33.23,54.75199999999998,80,100,13.58046274
0.07,71.88800000000005,85,92,4.9167941200000005
64.73,39.469999999999956,92,40,31.31716
50.63,38.26400000000003,96,93,5.9949992000000005
31.56,66.46999999999997,52,23,2.23694
31.58,66.27200000000005,49,82,7.4266408
-30.97,59.14399999999998,18,33,9.34593532
32.45,71.86999999999996,100,90,4.74454974
34.52,50.432000000000016,48,0,0.8164831
23.02,81.10399999999996,56,0,2.3353653600000004
57.9,35.40199999999997,83,80,9.12224132
-29.96,64.66999999999996,88,90,14.987498000000002
18.42,80.86999999999996,78,1,5.8384134
4.46,79.06999999999996,88,75,4.697574
60.4,52.069999999999965,87,27,19.461378
54.51,44.86999999999996,87,99,11.184700000000001
-33.69,57.16400000000003,77,99,13.097283700000002
3.87,74.42599999999999,96,98,2.21680754
54.43,45.211999999999954,92,36,9.76871698
38.52,66.45199999999997,95,100,19.84836862
-34.85,60.27799999999996,72,40,16.105968
65.73,21.398000000000025,92,100,18.34514494
45.42,51.27799999999996,66,75,3.35541
43.27,63.266000000000005,82,99,19.461378
-28.95,87.27799999999996,42,1,14.987498000000002
-5.2,75.46999999999997,83,40,6.934514000000001
38.52,39.38000000000004,52,20,4.02425506
-9.8,80.29399999999998,72,0,18.14605728
-4.99,71.88800000000005,94,93,1.90363594
27.82,75.05600000000004,30,0,7.16268188
-15.77,97.06999999999996,15,0,12.750558000000002
-30.17,65.62400000000002,81,100,26.015612200000003
24.82,62.45600000000003,92,94,2.4472123600000004
67.55,25.285999999999966,76,99,19.300318320000002
-23.12,75.10999999999999,86,0,9.806744960000001
67.68,31.424000000000014,96,100,8.618929820000002
-8.83,77.26999999999995,83,75,9.171454
13.93,83.26400000000004,79,11,4.0041226000000005
-7.6,69.65600000000003,86,9,2.5143205600000003
40.12,46.54399999999997,42,19,3.21224584
19.28,84.46999999999997,83,20,3.35541
10.47,82.11199999999997,77,100,7.99929744
50.7,50.26999999999996,87,75,20.803542000000004
35.37,82.66999999999996,14,1,6.934514000000001
13.59,71.86999999999996,100,75,4.697574
66.77,22.85600000000003,90,99,19.85507944
3.63,77.26999999999995,100,75,3.35541
53.26,52.26799999999999,93,57,6.934514000000001
55.74,32.26999999999996,75,75,2.23694
64.25,48.63200000000002,89,100,35.48010534
54.32,50.26999999999996,87,90,14.987498000000002
-2.57,84.99199999999999,68,92,5.29483698
51.24,49.17200000000004,76,86,10.51809188
17.54,73.66999999999996,28,40,8.052984
-19.58,83.26400000000004,60,2,11.638798820000002
63.84,50.26999999999996,93,90,18.342908
30.04,84.27200000000005,78,90,9.171454
4.14,80.36600000000001,81,100,6.0173686
-3.14,73.04000000000002,98,66,0.95741032
26.33,75.46999999999997,36,76,3.35541
-22.27,71.20399999999995,65,89,12.40159536
41.42,48.469999999999956,87,0,6.934514000000001
71.64,15.422000000000036,87,100,5.769068260000001
-0.92,67.85600000000002,92,3,2.6686694200000005
13.79,81.5,71,26,6.61463158
-22.45,75.46999999999997,25,54,3.35541
15.34,71.86999999999996,94,92,5.990525320000001
-6.48,65.15600000000003,99,37,0.67331894
-23.7,88.06999999999996,14,67,9.171454
65.95,32.26999999999996,99,90,11.184700000000001
28.21,60.83599999999997,79,0,2.93710222
48.15,44.86999999999996,87,90,5.816044000000001
-21.88,64.68800000000005,97,90,1.14755022
-16.48,80.07799999999997,78,0,9.41975434
11.06,77.342,85,82,5.01745642
35.73,63.266000000000005,72,75,11.408394
63.92,16.232000000000014,90,70,0.49212680000000003
44.38,49.26199999999996,90,4,6.675028960000001
24.58,70.34000000000003,53,0,1.8678449000000001
